City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
262,Maceio,BR,-9.6658,-35.7353,87.24,62,40,10.36,scattered clouds
263,Kahului,US,20.8947,-156.47,71.62,71,0,10.36,clear sky
264,Constitucion,CL,-35.3333,-72.4167,67.77,69,13,9.46,few clouds
265,Kismayo,SO,-0.3582,42.5454,78.17,81,57,16.64,broken clouds
266,Albania,AL,41.0,20.0,45.79,58,3,6.11,clear sky
267,Okhotsk,RU,59.3833,143.3,13.91,80,100,14.99,overcast clouds
268,Malakal,SS,9.5334,31.6605,83.34,16,2,6.42,clear sky
269,Iqaluit,CA,63.7506,-68.5145,-13.27,69,100,10.0,light snow
270,Tezu,IN,27.9167,96.1667,53.56,51,7,4.25,clear sky
271,Madang,PG,-5.2246,145.7966,76.66,92,100,6.38,overcast clouds
272,Farsund,NO,58.0948,6.8047,43.95,100,96,42.37,overcast clouds
273,Rosarito,MX,32.3333,-117.0333,61.41,29,100,3.91,overcast clouds
274,Lucapa,AO,-8.4192,20.7447,69.85,92,100,5.35,moderate rain
275,Esperance,AU,-33.8667,121.9,66.04,73,1,17.81,clear sky
276,Puerto Del Rosario,ES,28.5004,-13.8627,65.95,72,3,5.75,haze
277,Wuxi,CN,31.5689,120.2886,35.98,64,100,6.26,light rain
278,Paris,FR,48.8534,2.3488,51.98,92,100,5.01,overcast clouds
279,Usogorsk,RU,63.4106,48.6872,16.45,93,100,9.91,light snow
280,Akersberga,SE,59.4794,18.2997,39.27,93,100,15.5,overcast clouds
281,Noumea,NC,-22.2763,166.4572,79.0,99,100,3.49,overcast clouds
282,Alyangula,AU,-13.8483,136.4192,80.47,89,100,6.91,overcast clouds
283,Arraial Do Cabo,BR,-22.9661,-42.0278,89.56,66,40,9.22,light rain
284,Strezhevoy,RU,60.7333,77.5889,-4.02,100,96,3.98,overcast clouds
285,Khanpur,PK,28.6453,70.6567,61.99,20,1,1.36,clear sky
286,Mezen,RU,65.8522,44.24,16.92,94,100,8.81,overcast clouds
287,Balanacan,PH,13.5289,121.8677,76.14,81,15,2.62,few clouds
288,Ginda,IN,30.6945,78.4932,41.74,48,0,7.78,clear sky
289,Sokna,NO,60.24,9.9235,47.61,85,91,6.08,overcast clouds
290,Beoumi,CI,7.6736,-5.5764,96.58,17,9,5.28,clear sky
291,Jining,CN,35.405,116.5814,37.99,1,6,2.04,clear sky
292,Paita,PE,-5.0892,-81.1144,79.36,67,91,5.88,overcast clouds
293,Gamba,GA,-2.65,10.0,80.19,75,60,10.51,broken clouds
294,Hasaki,JP,35.7333,140.8333,36.28,89,99,20.96,overcast clouds
295,Bongandanga,CD,1.5,21.05,93.15,21,58,2.73,broken clouds
296,Ponta Do Sol,PT,32.6667,-17.1,70.72,55,62,7.27,broken clouds
297,Andenes,NO,69.3143,16.1194,28.38,64,100,19.57,overcast clouds
298,Praia Da Vitoria,PT,38.7333,-27.0667,63.75,77,75,11.48,broken clouds
299,Black River,JM,18.0264,-77.8487,80.98,54,9,7.43,clear sky
300,Forestville,US,38.8451,-76.875,25.66,58,20,18.41,few clouds
301,Mahroni,IN,24.5862,78.7288,58.8,35,0,2.77,clear sky
302,Totoro,CO,2.512,-76.4012,60.24,73,99,4.83,overcast clouds
303,Ordu,TR,40.9086,37.6845,20.68,86,89,6.29,overcast clouds
304,Charters Towers,AU,-20.1,146.2667,72.45,86,38,8.14,scattered clouds
305,Salalah,OM,17.0151,54.0924,71.51,70,76,5.12,broken clouds
306,Palmer,US,42.1584,-72.3287,19.71,77,100,8.01,light snow
307,Saint-Joseph,RE,-21.3667,55.6167,79.18,85,78,10.69,light rain
308,Coihaique,CL,-45.5752,-72.0662,68.61,27,0,10.36,clear sky
309,Fernie,CA,49.5,-115.0687,13.17,100,99,0.85,overcast clouds
310,Kamenka,RU,51.3223,42.7678,32.76,98,99,8.12,snow
311,Great Yarmouth,GB,52.6083,1.7305,54.23,66,53,24.49,broken clouds
312,Vagur,FO,61.4732,-6.8119,38.28,64,36,42.95,scattered clouds
313,Biltine,TD,14.5333,20.9167,79.54,9,2,10.6,clear sky
314,Karratha,AU,-20.7377,116.8463,83.59,62,90,10.42,overcast clouds
315,Bud,US,39.447,-86.1758,18.19,78,26,4.45,scattered clouds
316,Camacha,PT,33.0833,-16.3333,64.53,63,0,9.22,clear sky
317,Eyl,SO,7.9803,49.8164,76.26,68,100,23.26,overcast clouds
318,Carnarvon,AU,-24.8667,113.6333,77.07,88,0,8.05,clear sky
319,Ponta Delgada,PT,37.7333,-25.6667,64.51,59,20,10.36,few clouds
320,Perth,AU,-31.9333,115.8333,78.67,65,0,8.05,clear sky
321,Santa Cruz,BO,-17.8,-63.1667,87.85,42,75,17.27,broken clouds
322,Salinopolis,BR,-0.6136,-47.3561,74.79,90,100,6.85,light rain
323,Turukhansk,RU,65.8167,87.9833,2.08,95,100,10.49,light snow
324,Wanning,CN,18.8003,110.3967,66.6,90,75,10.94,broken clouds
325,Auki,SB,-8.7676,160.7034,77.68,87,100,3.56,light rain
326,Port Hardy,CA,50.6996,-127.4199,46.76,87,100,19.57,light rain
327,Hannibal,US,39.7084,-91.3585,27.52,46,0,8.05,clear sky
328,Olga,RU,43.7444,135.2892,8.22,55,9,14.29,clear sky
329,Miltenberg,DE,49.7039,9.2644,46.13,89,100,5.99,overcast clouds
330,Tyukhtet,RU,56.5389,89.3011,-6.48,98,60,3.71,broken clouds
331,Geraldton,AU,-28.7667,114.6,74.12,78,4,5.75,clear sky
