City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
347,Vila Franca Do Campo,PT,64.2,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
353,Kalianget,ID,79.74,overcast clouds,-7.05,113.9333,Pesanggrahan Garam
355,Pindwara,IN,61.27,clear sky,24.8,73.0667,Arbuda tour and travels
357,Natal,BR,84.85,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
358,Chicama,PE,68.54,broken clouds,-7.8447,-79.1469,Balihai Bungalows
359,Bossangoa,CF,94.3,broken clouds,6.4926,17.4552,LA PERLE DE BOSTON
360,Vanimo,PG,76.98,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
362,Barcelos,PT,66.29,clear sky,41.5388,-8.6151,Hotel Restaurante Bagoeira
365,Crixas,BR,79.7,broken clouds,-14.5489,-49.9692,RISO HOTEL
367,Sainte-Marie,RE,80.76,broken clouds,-20.8968,55.5496,Les pailles en queue de Sainte Marie
369,Puerto Colombia,CO,82.49,broken clouds,10.9878,-74.9547,Hotel El Emigrante
370,Itupiranga,BR,84.52,overcast clouds,-5.1347,-49.3267,Hotel Panorama
372,Humaita,BR,74.91,light rain,-7.5061,-63.0208,Corrêa Hotel
373,Cap Malheureux,MU,82.89,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
374,Ewa Beach,US,73.69,clear sky,21.3156,-158.0072,Uncle Junior Robert
375,Tingi,TZ,64.92,light rain,-11.3,35.0333,
378,Portmore,JM,83.97,few clouds,17.9702,-76.8672,Salmon Way Inn
380,Adrar,MR,87.37,overcast clouds,20.5022,-10.0711,
382,Caala,AO,67.24,light rain,-12.8525,15.5606,Adymuzik Oficial
384,Takoradi,GH,84.78,overcast clouds,4.8845,-1.7554,Raybow International Hotel
386,El Banco,CO,85.46,broken clouds,9.0011,-73.9758,HOTEL RADOA El Banco Magdalena
387,Bambanglipuro,ID,77.38,moderate rain,-7.95,110.2833,Puri Brata
388,Nishihara,JP,61.88,light rain,26.1842,127.7558,Minshuku Agaihama
389,Orocue,CO,93.69,scattered clouds,4.7912,-71.3354,Hotel Brisas de San Miguel
392,Banda Aceh,ID,79.25,few clouds,5.5577,95.3222,Sulthan Hotel International
396,Dodola,ET,60.55,broken clouds,6.9833,39.1833,Naf tolli Cafe
397,Forbes,AU,75.92,scattered clouds,-33.3833,148.0167,Lake Forbes Motel
399,Isangel,VU,78.91,moderate rain,-19.55,169.2667,Tanna Lodge
403,San Cristobal,VE,73.58,broken clouds,7.7669,-72.225,Posada Villaven C.A.
404,Lichinga,MZ,69.89,thunderstorm,-13.3128,35.2406,Residencial Bendiak
407,Kokstad,ZA,64.96,broken clouds,-30.5472,29.4241,Majestic Bed and Breakfast
408,Kanniyakumari,IN,79.68,scattered clouds,8.0833,77.5667,Sparsa
411,Bundaberg,AU,73.69,overcast clouds,-24.85,152.35,Takalvan Motel
415,Urubicha,BO,85.68,overcast clouds,-15.3833,-62.95,
417,Vaitape,PF,80.04,few clouds,-16.5167,-151.75,Conrad Bora Bora Nui
418,Makungu,TZ,65.01,heavy intensity rain,-8.7333,35.2833,Complex
419,Bilma,NE,72.01,clear sky,18.6853,12.9164,Expeditions Ténére voyages
421,Dong Hoi,VN,73.6,overcast clouds,17.4833,106.6,Nam Long Hotel
422,Manjakandriana,MG,76.69,scattered clouds,-18.9167,47.8,Ampahikely Manjakandriana
425,Puerto Ayacucho,VE,82.18,broken clouds,5.6639,-67.6236,Posada Turistica Manapiare
426,Grand-Lahou,CI,86.27,broken clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
431,Yaan,NG,94.01,overcast clouds,7.3833,8.5667,
432,Phan Thiet,VN,72.91,broken clouds,10.9333,108.1,Hotel Saigon-PT
434,Codrington,AU,63.14,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
435,Santiago Del Estero,AR,84.99,clear sky,-27.7951,-64.2615,Apartamentos Castelli 90
436,Sorong,ID,81.5,moderate rain,-0.8833,131.25,Waigo Splash Hotel
437,Boa Vista,BR,89.58,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
440,Talcahuano,CL,62.28,overcast clouds,-36.7167,-73.1167,departamento comodo
444,Basco,PH,74.59,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
445,Vao,NC,78.94,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
446,Inirida,CO,92.19,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
